MsgID.LOCAL_VELOCITY,1527961349.3786337,-0.0000111,0.0000174,0.0001380
MsgID.GLOBAL_POSITION,1527961349.3788183,-122.3974503,37.7924805,0.1780000
MsgID.LOCAL_VELOCITY,1527961349.3788183,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3790174,0.0130828,0.2610574,-0.1785327
MsgID.LOCAL_VELOCITY,1527961349.3790174,-0.0000003,-0.0000054,0.0000566
MsgID.STATE,1527961349.3792853,True,True
MsgID.GLOBAL_HOME,1527961349.3795099,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527961349.3796821,-122.3974506,37.7924808,0.1480000
MsgID.LOCAL_VELOCITY,1527961349.3796821,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3798699,0.0418091,0.2344855,-0.1486286
MsgID.LOCAL_VELOCITY,1527961349.3798699,0.0000251,0.0000798,0.0000269
MsgID.GLOBAL_POSITION,1527961349.3800874,-122.3974524,37.7924808,0.1210000
MsgID.LOCAL_VELOCITY,1527961349.3800874,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3802772,0.0418145,0.0759549,-0.1212856
MsgID.LOCAL_VELOCITY,1527961349.3802772,0.0000020,0.0000299,0.0001317
MsgID.GLOBAL_POSITION,1527961349.3804536,-122.3974526,37.7924808,0.1000000
MsgID.LOCAL_VELOCITY,1527961349.3804536,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3806374,0.0424066,0.0587093,-0.1005431
MsgID.LOCAL_VELOCITY,1527961349.3806374,0.0000280,0.0000257,-0.0000103
MsgID.GLOBAL_POSITION,1527961349.3808327,-122.3974531,37.7924808,0.0880000
MsgID.LOCAL_VELOCITY,1527961349.3808327,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3809791,0.0418109,0.0166579,-0.0882568
MsgID.LOCAL_VELOCITY,1527961349.3809791,0.0000083,-0.0000081,0.0000006
MsgID.STATE,1527961349.3812735,True,True
MsgID.GLOBAL_HOME,1527961349.3814723,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527961349.3816121,-122.3974523,37.7924808,0.0830000
MsgID.LOCAL_VELOCITY,1527961349.3816121,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3818004,0.0419480,0.0863084,-0.0833374
MsgID.LOCAL_VELOCITY,1527961349.3818004,-0.0000056,0.0000081,0.0000264
MsgID.GLOBAL_POSITION,1527961349.3820024,-122.3974521,37.7924811,0.0820000
MsgID.LOCAL_VELOCITY,1527961349.3820024,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3821583,0.0769983,0.1016852,-0.0825066
MsgID.LOCAL_VELOCITY,1527961349.3821583,0.0000711,-0.0000143,0.0000080
MsgID.GLOBAL_POSITION,1527961349.3823388,-122.3974521,37.7924803,0.0820000
MsgID.LOCAL_VELOCITY,1527961349.3823388,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3824725,-0.0084748,0.1016456,-0.0825000
MsgID.LOCAL_VELOCITY,1527961349.3824725,0.0000092,-0.0000276,0.0000006
MsgID.GLOBAL_POSITION,1527961349.3826773,-122.3974521,37.7924795,0.0820000
MsgID.LOCAL_VELOCITY,1527961349.3826773,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3828802,-0.1025857,0.1017578,-0.0824999
MsgID.LOCAL_VELOCITY,1527961349.3828802,0.0000061,0.0000255,0.0000420
MsgID.STATE,1527961349.3832579,True,True
MsgID.GLOBAL_HOME,1527961349.3834944,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527961349.3836405,-122.3974522,37.7924811,0.0820000
